Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
"rounded lucency projecting over the right lung apex may represent a contained pneumothorax , or parenchymal bullae .",,,,,,,,,,-1,,,,
rounded opacity at the right lung base could be eventration of the hemidiaphragm .,,,,,1,,,,,,,,,
rounded opacity is present in the right lower lung .,,,,,1,,,,,,,,,
rounded opacity projecting over the inferior mediastinum may represent a hiatal hernia or thoracic aneurysm .,,1,,,1,,,,,,,,,
"rounded opacity projects over the lateral left lung base , and may be secondary to overlying soft tissues , recommend two-view chest radiograph .",,,,,1,,,,,,,,,
s shaped curvature of the thoracic spine .,1,,,,,,,,,,,,,
"s shaped scoliosis , convex right in the lower thoracic spine .",,,,,,,,,,,,,,
s-shaped curvature of the thoracolumbar spine .,1,,,,,,,,,,,,,
s-shaped curvature of the upper thoracic spine .,1,,,,,,,,,,,,,
saber sheath trachea configuration is present .,1,,,,,,,,,,,,,
scapular tips overlie the bilateral lungs .,1,,,,,,,,,,,,,
scattered atelectasis in the periphery of the left lower lung .,,,,,,,,,1,,,,,
scattered bibasilar subsegmental atelectasis .,,,,,,,,,1,,,,,
"scattered bilateral band-like opacities may represent areas of atelectasis , aspiration , or scarring .",,,,,1,,,,-1,,,,,
"scattered fine linear opacities in the mid lungs bilaterally , likely represent areas of scarring or atelectasis .",,,,,1,,,,-1,,,,,
scattered fine linear opacities may represent regions of interstitial pulmonary edema or subsegmental atelectasis .,,,,,1,-1,,,-1,,,,,
scattered foci of subsegmental atelectasis and / or scarring in the right lung .,,,,,-1,,,,-1,,,,,
scattered foci of subsegmental atelectasis in the right lung base .,,,,,,,,,1,,,,,
scattered hazy bilateral subsegmental-size parenchymal opacities may represent atelectasis or ground-glass opacities .,,,,,1,,,,-1,,,,,
scattered hazy opacities in the lung bases which may represent areas of atelectasis or ground-glass opacity .,,,,,1,,,,-1,,,,,
scattered hazy parenchymal opacities in the lower lungs .,,,,,1,,,,,,,,,
"scattered high attenuation lesions bilaterally , maybe due to calcified granulomas .",,,,,,,,,,,,,,
scattered hilar and mediastinal surgical clips .,1,,,,,,,,,,,,,
scattered linear opacities and peribronchial thickening likely represent interstitial pulmonary edema .,,,,,1,1,,,,,,,,
scattered linear opacities in the left lung base likely represent subsegmental atelectasis .,,,,,1,,,,1,,,,,
scattered linear opacities in the lung bases are favored to represent areas of atelectasis .,,,,,1,,,,1,,,,,
scattered linear opacities in the right lung may represent areas of atelectasis or scarring .,,,,,1,,,,-1,,,,,
scattered linear opacities may represent airway wall thickening or scarring .,,,,,1,,,,,,,,,
scattered linear opacities may represent ground-glass opacities or atelectasis .,,,,,1,,,,-1,,,,,
scattered mediastinal surgical clips .,1,,,,,,,,,,,,,
scattered patchy parenchymal opacities within the right lung .,,,,,1,,,,,,,,,
scattered peribronchial thickening .,,,,,1,,,,,,,,,
scattered peribronchial thickening and mild septal line thickening may represent pulmonary interstitial edema .,,,,,1,-1,,,,,,,,1
scattered peribronchial thickening and patchy parenchymal opacities .,,,,,1,,,,,,,,,
scattered peribronchial thickening may represent interstitial pulmonary edema .,,,,,1,-1,,,,,,,,
scattered peribronchial thickening may represent mild interstitial pulmonary edema .,,,,,1,-1,,,,,,,,
scattered perihilar peribronchial thickening .,,,,,1,,,,,,,,,
"scattered peripheral reticular opacities may represent edema , or pulmonary fibrosis .",,,,,1,-1,,,,,,-1,,
scattered probable peribronchial thickening may represent interstitial pulmonary edema .,,,,,-1,-1,,,,,,,,
scattered radiodense nodular opacities in the right lung likely represent calcified granulomas .,,,,1,1,,,,,,,,,
scattered remote appearing rib fractures .,,,,,,,,,,,,,1,
scattered reticular opacities may represent pulmonary edema .,,,,,1,-1,,,,,,,,
scattered skin folds project over the lower thorax .,1,,,,,,,,,,,,,
scattered small high density nodular opacities likely represent calcified granulomas .,,,,1,1,,,,,,,,,
scattered small mediastinal surgical clips .,1,,,,,,,,,,,,,
scattered small surgical clips project over the superior mediastinum-lower neck .,,1,,,,,,,,,,,,
scattered subsegmental-sized opacities in the left lung base may represent consolidation or atelectasis .,,,,,1,,-1,,-1,,,,,
scattered subsegmental-sized opacities likely represent focus of subsegmental atelectasis .,,,,,1,,,,1,,,,,
scattered subsegmental-sized opacities may represent atelectasis versus mild interstitial pulmonary edema .,,,,,1,-1,,,-1,,,,,
scattered surgical clips .,1,,,,,,,,,,,,,
scattered surgical clips project over the left basilar hemithorax or left breast .,1,,,,,,,,,,,,,
scattered surgical clips project over the left hilar region .,1,,,,,,,,,,,,,
scattered surgical clips project over the mediastinal contour .,,1,,,,,,,,,,,,
scattered surgical clips project over the mediastinum .,,1,,,,,,,,,,,,
scattered surgical clips project over the right hilum and right lung .,1,,,,,,,,,,,,,
scattered surgical clips project over the right upper abdomen .,1,,,,,,,,,,,,,
scattered surgical clips project over the right upper abdomen versus basilar right hemithorax .,1,,,,,,,,,,,,,
scattered surgical clips project over the upper mid abdomen .,1,,,,,,,,,,,,,
scattered surgical clips projects over the mid chest .,1,,,,,,,,,,,,,
scattered suture anchors project over the right humeral head .,1,,,,,,,,,,,,,
sclerosis of the right humeral head .,1,,,,,,,,,,,,,
sclerotic lesion in the left humeral head .,1,,,,,,,,,,,,,
scoliosis .,,,,,,,,,,,,,,
screw anchors are present in right humeral head .,1,,,,,,,,,,,,,1
segmental consolidation is questionably present in left lower lung .,,,,,,,1,,,,,,,
segmental left lower lobe opacities consistent with atelectatic or consolidated lung .,,,,,1,,-1,,-1,,,,,
segmental left lower lobe opacity is consistent with atelectasis .,,,,,1,,,,1,,,,,
"segmental left lower lobe opacity is consistent with consolidated or atelectatic lung , or mass .",,,,-1,1,,-1,,-1,,,,,
segmental left lower lobe opacity is likely atelectatic lung .,,,,,1,,,,1,,,,,
segmental left upper lobe opacities consistent with atelectatic lung .,,,,,1,,,,1,,,,,
"segmental opacity , consistent with atelectatic and / or consolidated lung is likely present in the right lower lobe .",,,,,1,,1,,1,,,,,
segmental opacity in left lower lobe is consistent with atelectatic or consolidated lung .,,,,,1,,-1,,-1,,,,,
segmental opacity in right lower lobe is consistent with atelectatic and / or consolidated lung .,,,,,1,,1,,-1,,,,,
segmental opacity in the adjacent right lower lung is consistent with atelectatic or consolidated lung .,,,,,1,,-1,,-1,,,,,
segmental opacity in the left lower lobe is consistent with atelectatic and / or consolidated lung .,,,,,1,,1,,-1,,,,,
segmental opacity in the medial right lower lobe is consistent with atelectatic and / or consolidated lung .,,,,,1,,1,,-1,,,,,
segmental opacity in the retrocardiac left lower lobe is consistent with an area of atelectatic and / or consolidated lung .,,,,,1,,1,,-1,,,,,
segmental opacity in the retrocardiac left lower lobe is consistent with atelectatic or consolidated lung .,,,,,1,,-1,,-1,,,,,
segmental opacity in the right lower lobe is likely consolidation as well .,,,,,1,,1,,,,,,,
"segmental opacity is possibly present in left lower lobe , consistent with atelectatic and / or consolidated lung .",,,,,1,,1,,1,,,,,
"segmental opacity is questionably present in retrocardiac left lower lobe , consistent with atelectatic and / or consolidated lung .",,,,,1,,1,,1,,,,,
"segmental opacity is questionably present in superior segment of the right lower lobe , consistent with atelectatic and / or consolidated lung .",,,,,1,,1,,-1,,,,,
segmental retrocardiac left lower lobe opacity is consistent with atelectatic and / or consolidated lung .,,,,,1,,1,,1,,,,,
segmental right lower lobe opacity is consistent with atelectatic and / or consolidated lung .,,,,,1,,1,,-1,,,,,
septal lines are present in the left lower lung .,1,,,,,,,,,,,,,1
several healed left rib cage fractures are present .,,,,,,,,,,,,,1,
several healed right rib cage fractures are present .,,,,,,,,,,,,,1,
several healed upper left rib cage fractures are present .,,,,,,,,,,,,,1,
severe degenerative changes of the bilateral shoulders .,,,,,,,,,,,,,,
severe degenerative changes of the left glenohumeral joint .,,,,,,,,,,,,,,
severe thoracolumbar scoliosis .,,,,,,,,,,,,,,
signal generator is present with intact vagus nerve stimulator leads .,1,,,,,,,,,,,,,
similar subsegmental opacity is present in the left parahilar lung .,,,,,1,,,,,,,,,
single lead left pectoral cardiac pacemaker .,1,,,,,,,,,,,,,1
single lead left pectoral cardiac pacemaker with lead tip projecting over the right ventricular apex .,1,,,,,,,,,,,,,1
"single lead left pectoral pacemaker , with lead orientation suggestive of a left persistent svc .",1,,,,,,,,,,,,,1
single surgical clip projects over the right lung base .,1,,,,,,,,,,,,,
skin folds are seen bilaterally .,1,,,,,,,,,,,,,
skin folds project over the hemithoraces .,1,,,,,,,,,,,,,
slight cardiomegaly is likely present .,,,1,,,,,,,,,,,
slight cardiomegaly is possibly present .,,,1,,,,,,,,,,,
slight cardiomegaly is present .,,,1,,,,,,,,,,,
slight cardiomegaly is questionably present .,,,1,,,,,,,,,,,
slight elevation or eventration of the right hemidiaphragm .,,,,,,,,,,,,,,
slight relative elevation of left hemidiaphragm is present .,,,,,,,,,,,,,,
slight relative elevation of right hemidiaphragm is present .,,,,,,,,,,,,,,
slightly enlarged cardiac silhouette .,,,1,,,,,,,,,,,
small amount of fluid along the right minor fissure .,,,,,,,,,,,,,,
small amount of fluid is present in right major fissure .,,,,,,,,,,,,,,
small amount of left basal pleural fluid is present .,,,,,,,,,,,1,,,
small amount of left basal pleural fluid is questionably present .,,,,,,,,,,,1,,,
small amount of pleural air is present in the lateral-basal left hemithorax .,1,,,,,,,,,,,,,
small amount of pleural fluid along the right fissure .,,,,,,,,,,,1,,,
small amount of pleural or mediastinal air is questionably present at the level of aortic arch .,1,,,,,,,,,,,,,
small amount of pleural thickening is present in the basal right hemithorax .,,,,,,,,,,,,1,,
small amount of right chest wall subcutaneous emphysema is present .,,,,,,,,,,,,,,
small amount of soft tissue emphysema within the right lateral chest wall .,,,,,,,,,,,,,,
small amount of subcutaneous emphysema in soft tissues of the left lower neck .,,,,,,,,,,,,,,
small amount of subcutaneous emphysema in the left lateral chest wall .,,,,,,,,,,,,,,
small amount of subcutaneous emphysema is questionably present in right axilla .,,,,,,,,,,,,,,
small amounts of pleural or extrapleural fluid are present in the apical hemithoraces .,,,,,,,,,,,-1,,,
small bibasilar pleural effusions .,,,,,,,,,,,1,,,
small bilateral layering pleural effusions .,,,,,,,,,,,1,,,
small bilateral layering pleural effusions and adjacent hazy parenchymal opacities which could represent consolidation or atelectasis .,,,,,1,,-1,,-1,,1,,,
"small bilateral pleural effusions , greater on the left .",,,,,,,,,,,1,,,
"small bilateral pleural effusions , left greater than right .",,,,,,,,,,,1,,,
"small bilateral pleural effusions , right greater than left .",,,,,,,,,,,1,,,
small bilateral pleural effusions .,,,,,,,,,,,1,,,
small bilateral pleural effusions and adjacent parenchymal opacities .,,,,,1,,,,,,1,,,
small bilateral pleural effusions and bibasilar hazy opacities likely representing atelectasis .,,,,,1,,,,1,,1,,,
small bilateral pleural effusions and bilateral patchy consolidation and / or pulmonary edema .,,,,,,-1,1,,,,1,,,
small bilateral pleural effusions and patchy bilateral ground-glass opacities and / or consolidation .,,,,,1,,-1,,,,1,,,
small bilateral pleural effusions and patchy consolidation in the bilateral lungs consistent with infection and / or pulmonary edema .,,,,,,1,1,1,,,1,,,
small bilateral pleural effusions and probable adjacent atelectasis .,,,,,,,,,-1,,1,,,
small bilateral pleural effusions versus pleural thickening .,,,,,,,,,,,-1,-1,,
small bilateral pleural effusions versus subsegmental atelectasis .,,,,,,,,,-1,,-1,,,
small bilateral pleural effusions with probable adjacent atelectasis .,,,,,,,,,-1,,1,,,
small catheter appears to overlie the superior mediastinum .,,1,,,,,,,,,,,,1
small clusters of nodules are seen in the right upper lung .,,,,1,,,,,,,,,,
small cystic space is present in the apical left lung .,1,,,,,,,,,,,,,
small fluid component is seen within the pleural space as well .,1,,,,,,,,,,,,,
small focus of consolidation or pulmonary nodule in the lateral right lower lung .,,,,-1,,,-1,,,,,,,
small gas-filled hiatal hernia .,,,,,,,,,,,,,,
small hazy opacity is seen in the right upper lung .,,,,,1,,,,,,,,,
small lateral loculated right pleural effusion .,,,,,,,,,,,1,,,
small layering bilateral pleural effusions .,,,,,,,,,,,1,,,
small layering left pleural effusion .,,,,,,,,,,,1,,,
small layering left pleural effusion and patchy consolidation in the left lower lobe .,,,,,,,1,,,,1,,,
small layering right pleural effusion .,,,,,,,,,,,1,,,
small left apical pneumothorax .,,,,,,,,,,1,,,,
small left apical pneumothorax noted .,,,,,,,,,,1,,,,
small left basal pleural effusion is questionably present .,,,,,,,,,,,1,,,
"small left pleural effusion , left basilar subsegmental atelectasis .",,,,,,,,,1,,1,,,
small left pleural effusion .,,,,,,,,,,,1,,,
"small left pleural effusion and adjacent subsegmental-sized opacity which may represent aspiration , infarct , or atelectasis .",,,,,1,,,,-1,,1,,,
small left pleural effusion and left basilar subsegmental atelectasis .,,,,,,,,,1,,1,,,
small left pleural effusion and likely basilar atelectasis .,,,,,,,,,1,,1,,,
small left pleural effusion and possible left basilar atelectasis or consolidation .,,,,,,,-1,,-1,,-1,,,
small left pleural effusion is likely present .,,,,,,,,,,,1,,,
small left pleural effusion is possibly present .,,,,,,,,,,,1,,,
small left pleural effusion is present .,,,,,,,,,,,1,,,
small left pleural effusion is questionably present .,,,,,,,,,,,1,,,
small left pleural effusion noted .,,,,,,,,,,,1,,,
small left pleural effusion versus cardiac fat pad .,,,,,,,,,,,-1,,,
small left pleural effusion versus pleural thickening extending along the lateral left hemithorax .,,,,,,,,,,,-1,-1,,
small left pleural effusion with left basilar subsegmental atelectasis .,,,,,,,,,1,,1,,,
small left pneumothorax .,,,,,,,,,,1,,,,
small left pneumothorax in left basilar atelectasis .,,,,,,,,,1,1,,,,
small lung volumes are noted .,1,,,,,,,,,,,,,
small lung volumes are noted with basilar atelectasis .,,,,,,,,,1,,,,,
small lung volumes are noted with bibasilar atelectasis .,,,,,,,,,1,,,,,
small lung volumes are noted with likely basilar atelectasis .,,,,,,,,,1,,,,,
small lung volumes with likely mild basilar atelectasis .,,,,,,,,,1,,,,,
small lung volumes with patchy subsegmental atelectasis .,,,,,,,,,1,,,,,
small lung volumes with subsegmental atelectasis noted .,,,,,,,,,1,,,,,
small metallic device or object projects lateral to the lower thoracic spine on the right side .,1,,,,,,,,,,,,,-1
small nodular opacities are likely present in the upper lungs .,,,,1,1,,,,,,,,,
small nodular opacity or artifact projects between the right anterior first and second ribs .,,,,-1,-1,,,,,,,,,
small nodular opacity projects over the apical right hemithorax .,,,,1,1,,,,,,,,,
small nodule at the left lung base .,,,,1,,,,,,,,,,
small nodules versus mucus plugging or airway wall thickening in the right lung .,,,,-1,-1,,,,,,,,,
small opacity at the right lung base could represent consolidation or nodule .,,,,-1,1,,-1,,,,,,,
small opacity in the right lung base may represent a small focus of consolidation .,,,,,1,,1,,,,,,,
opacity in the right lung base likely represents atelectasis,,,,,1,,1,,,,,,,
small pleural effusions .,,,,,,,,,,,1,,,
small pleural effusions are likely present .,,,,,,,,,,,1,,,
small pleural effusions are present .,,,,,,,,,,,1,,,
small pleural effusions are questionably present .,,,,,,,,,,,1,,,
small pleural effusions may be present .,,,,,,,,,,,-1,,,
small pulmonary nodules at the left apex .,,,,1,,,,,,,,,,
small pulmonary nodules in the left lung .,,,,1,,,,,,,,,,
small pulmonary nodules versus nipple shadows in the lower lobes .,,,,-1,,,,,,,,,,
small right and possible trace left effusion .,,,,,,,,,,,-1,,,
small right and trace left pleural effusion .,,,,,,,,,,,1,,,
small right and trace left pleural effusions .,,,,,,,,,,,1,,,
small right apical pneumothorax .,,,,,,,,,,1,,,,
small right apical pneumothorax is also present .,,,,,,,,,,1,,,,
small right apical pneumothorax is present .,,,,,,,,,,1,,,,
small right basal lateral pneumothorax .,,,,,,,,,,1,,,,
small right basilar pleural effusion .,,,,,,,,,,,1,,,
small right effusion .,,,,,,,,,,,1,,,
small right hydropneumothorax noted .,,,,,,,,,,1,,,,
"small right pleural effusion , probable retrocardiac multisegmental atelectasis , consolidation not excluded .",,,,,,,-1,,-1,,-1,,,
small right pleural effusion .,,,,,,,,,,,1,,,
small right pleural effusion and basilar atelectasis .,,,,,,,,,1,,1,,,
small right pleural effusion and patchy consolidation at the right lung base .,,,,,,,1,,,,1,,,
small right pleural effusion and possible trace left effusion .,,,,,,,,,,,1,,,
small right pleural effusion and trace fluid along the right minor fissure .,,,,,,,,,,,1,,,
small right pleural effusion extending to the right apex .,,,,,,,,,,,1,,,
small right pleural effusion is also present .,,,,,,,,,,,1,,,
small right pleural effusion is present .,,,,,,,,,,,1,,,
small right pleural effusion is questionably present .,,,,,,,,,,,1,,,
small right pleural effusion noted .,,,,,,,,,,,1,,,
small right pleural effusion or pleural scarring .,,,,,,,,,,,-1,-1,,
small right pleural effusion versus pleural thickening noted .,,,,,,,,,,,-1,-1,,
small right pleural effusion with pleural fluid tracking along the right minor fissure .,,,,,,,,,,,1,,,
small right pleural effusion with probable adjacent atelectasis .,,,,,,,,,-1,,1,,,
small right pleural effusion with superimposed atelectasis versus consolidation .,,,,,,,-1,,-1,,1,,,
small right pneumothorax .,,,,,,,,,,1,,,,
small right pneumothorax present .,,,,,,,,,,1,,,,
small sclerotic focus projecting over the right humeral head .,1,,,,,,,,,,,,,
small surgical clips project over the inferior neck .,1,,,,,,,,,,,,,
small surgical clips project over the medial right hemidiaphragm .,1,,,,,,,,,,,,,
small to moderate left pleural effusion .,,,,,,,,,,,1,,,
small to moderate right apical pneumothorax .,,,,,,,,,,1,,,,
small to moderate right pleural effusion .,,,,,,,,,,,1,,,
small triangular lucency projecting over the lateral right lung base may represent a small focus of pleural gas .,1,,,,,,,,,,,,,
small volume of soft tissue emphysema in the lateral right chest wall .,,,,,,,,,,,,,,
small volume pneumomediastinum .,,,,,,,,,,,,,,
small volumes noted with possible basilar atelectasis .,,,,,,,,,-1,,,,,
small-moderate left pleural effusion .,,,,,,,,,,,1,,,
small-moderate right apical pneumothorax .,,,,,,,,,,1,,,,
small-moderate right pleural effusion .,,,,,,,,,,,1,,,
soft tissue emphysema .,,,,,,,,,,,,,,
soft tissue emphysema in the bilateral chest wall .,,,,,,,,,,,,,,
soft tissue emphysema in the lateral right chest wall .,,,,,,,,,,,,,,
soft tissue emphysema in the left chest wall .,,,,,,,,,,,,,,
soft tissue emphysema in the left chest wall and inferior left neck .,,,,,,,,,,,,,,
soft tissue emphysema in the right chest wall .,,,,,,,,,,,,,,
soft tissue emphysema of the right chest wall .,,,,,,,,,,,,,,
soft tissue emphysema throughout the right chest wall .,,,,,,,,,,,,,,
soft tissue emphysema throughout the right chest wall and inferior neck .,,,,,,,,,,,,,,
soft tissue emphysema within the right chest wall .,,,,,,,,,,,,,,
soft tissue emphysema within the right chest wall adjacent to the chest tube .,,,,,,,,,,,,,,1
soft tissue overlies the lower hemithoraces .,1,,,,,,,,,,,,,
soft tissue overlies the lower hemithorax .,1,,,,,,,,,,,,,
soft tissue overlies the lower lungs .,1,,,,,,,,,,,,,
soft tissue overlies the right costophrenic angle .,1,,,,,,,,,,,,,
soft tissues overlie the lower lungs .,1,,,,,,,,,,,,,
some is located within interlobar fissures .,,,,,,,,,,,,,,
some trace left pleural effusion .,,,,,,,,,,,1,,,
sparse adjacent subsegmental atelectasis or scarring .,,,,,-1,,,,1,,,,,
status post coronary artery bypass grafting .,1,,,,,,,,,,,,,
status post fixation of the right humerus .,1,,,,,,,,,,,,,
status post left clavicular fixation .,1,,,,,,,,,,,,,
status post left shoulder arthroplasty .,1,,,,,,,,,,,,,1
status post midline sternotomy .,1,,,,,,,,,,,,,
stent grafts project over the upper abdomen .,1,,,,,,,,,,,,,
stent is likely present in left coronary artery .,1,,,,,,,,,,,,,
stent is present in right brachiocephalic vein .,1,,,,,,,,,,,,,
stent is present in the sub glottic trachea .,1,,,,,,,,,,,,,
stent material projects over the expected location of the ascending thoracic aorta .,1,,,,,,,,,,,,,
stent projects over the subglottic trachea .,1,,,,,,,,,,,,,
sternal fixation hardware .,1,,,,,,,,,,,,,1
sternal fixation hardware and overlying skin staple line .,1,,,,,,,,,,,,,1
sternal fixation hardware is present .,1,,,,,,,,,,,,,1
sternal plating hardware .,1,,,,,,,,,,,,,1
sternal wires are faintly visible .,1,,,,,,,,,,,,,
sternal wires are intact .,1,,,,,,,,,,,,,
sternal wires are present .,1,,,,,,,,,,,,,
"sternotomy wires , thoracic spinal fixation hardware and multiple mediastinal surgical clips .",1,,,,,,,,,,,,,1
sternotomy wires .,1,,,,,,,,,,,,,
sternotomy wires and mediastinal surgical clips are present .,1,,,,,,,,,,,,,
sternotomy wires and small mediastinal surgical clips are present .,1,,,,,,,,,,,,,
"sternotomy wires are present , some fractured .",,,,,,,,,,,,,1,
"sternotomy wires are present , the superior most are fractured .",,,,,,,,,,,,,1,
sternotomy wires are present .,1,,,,,,,,,,,,,
streaky opacities project over the bilateral infrahilar regions .,,,,,1,,,,,,,,,
subacute versus chronic fracture of the posterolateral left lower rib .,,,,,,,,,,,,,1,
subcentimeter nodule versus calcification at the right lung apex .,,,,-1,,,,,,,,,,
subcostal fat accumulation is present in the lateral and apical hemithoraces .,1,,,,,,,,,,,,,
subcutaneous emphysema .,,,,,,,,,,,,,,
subcutaneous emphysema in soft tissues of the right lateral chest wall .,,,,,,,,,,,,,,
subcutaneous emphysema in soft tissues of the right lower neck .,,,,,,,,,,,,,,
subcutaneous emphysema in the right lateral chest wall .,,,,,,,,,,,,,,
subcutaneous emphysema is present .,,,,,,,,,,,,,,
subcutaneous emphysema is present in the left lateral chest wall .,,,,,,,,,,,,,,
subcutaneous emphysema is present in the left lateral chest wall and supraclavicular region .,,,,,,,,,,,,,,
subcutaneous emphysema is present in the right lateral chest wall .,,,,,,,,,,,,,,
subcutaneous emphysema may be present in the right supraclavicular region .,,,,,,,,,,,,,,
subcutaneous emphysema noted .,,,,,,,,,,,,,,
subcutaneous emphysema noted on the right chest and neck .,,,,,,,,,,,,,,
subcutaneous emphysema seen along the left chest .,,,,,,,,,,,,,,
subcutaneous emphysema without definite pneumothorax .,,,,,,,,,,0,,,,
subdiaphragmatic lucency on the left is concerning for pneumoperitoneum .,,,,,,,,,,,,,,
suboptimal penetration .,1,,,,,,,,,,,,,
"suboptimal positioning , scapulae overlie the lungs .",1,,,,,,,,,,,,,
"subpleural reticular abnormality versus septal lines , the differential diagnosis includes pulmonary edema , less likely interstitial lung disease .",,,,,1,1,,,,,,,,-1
"subsegmental and segmental opacities are present in the lower lungs , consistent with atelectatic lung .",,,,,1,,,,1,,,,,
"subsegmental and segmental opacity is present in the left lower lung , consistent with atelectatic and / or consolidated lung .",,,,,1,,1,,-1,,,,,
subsegmental atelectasis are present in the lower lungs .,,,,,,,,,1,,,,,
subsegmental atelectasis are present in the perihilar lungs .,,,,,,,,,1,,,,,
subsegmental atelectasis in the mid left lung .,,,,,,,,,1,,,,,
subsegmental atelectasis in the mid right lung .,,,,,,,,,1,,,,,
subsegmental atelectasis in the right lung .,,,,,,,,,1,,,,,
subsegmental atelectasis is present in the adjacent right lower lung .,,,,,,,,,1,,,,,
subsegmental atelectasis is present in the left lower lobe and right lower lung .,,,,,,,,,1,,,,,
subsegmental atelectasis is present in the left lower lung .,,,,,,,,,1,,,,,
subsegmental atelectasis is present in the lower lungs .,,,,,,,,,1,,,,,
subsegmental atelectasis is present in the right lower lung .,,,,,,,,,1,,,,,
subsegmental atelectasis is present within the medial lung bases .,,,,,,,,,1,,,,,
subsegmental atelectasis is questionably present in the left-mid lung .,,,,,,,,,1,,,,,
subsegmental atelectasis or parenchymal scarring is present in the right upper lobe .,,,,,-1,,,,-1,,,,,
subsegmental atelectasis versus airway wall thickening in the medial right lung base .,,,,,-1,,,,-1,,,,,
subsegmental opacities are present in the upper lobes and left lower lung consistent with areas of atelectasis or scarring .,,,,,1,,,,-1,,,,,
subsegmental opacities are questionably present in retrocardiac left lower lobe .,,,,,1,,,,,,,,,
subsegmental opacities in the left lower lung are consistent with atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
"subsegmental opacity , consistent with atelectatic or consolidated lung , is present in the peripheral and lower left lung .",,,,,1,,-1,,-1,,,,,
subsegmental opacity in left lower lobe is consistent with atelectasis .,,,,,1,,,,1,,,,,
subsegmental opacity in the left lower lobe is consistent with atelectasis .,,,,,1,,,,1,,,,,
subsegmental opacity in the right lower lung is consistent with atelectasis .,,,,,1,,,,1,,,,,
subsegmental opacity in the superior segment of left lower lobe is consistent with atelectasis .,,,,,1,,,,1,,,,,
subsegmental opacity in the superior segment of right lower lobe is consistent with atelectasis .,,,,,1,,,,1,,,,,
"subsegmental opacity is questionably present in left upper lobe , consistent with consolidation .",,,,,1,,1,,,,,,,
"subsegmental parenchymal scarring and , likely , cavitation is present in the right lung apex .",,,,,1,,,,,,,,,
subsegmental-size opacity is present within the retrocardiac left lung base which may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
"subsegmental-size parenchymal opacities in the lung bases may represent atelectasis , though consolidation can also have this appearance .",,,,,1,,1,,-1,,,,,
subsegmental-size parenchymal opacities project over the right lung base .,,,,,1,,,,,,,,,
subsegmental-sized left basilar parenchymal opacity .,,,,,1,,,,,,,,,
"subsegmental-sized opacities , consistent with atelectatic lung , are present in the perihilar regions and lower lobes .",,,,,1,,,,1,,,,,
subsegmental-sized opacities are likely present in the right lower lobe as well .,,,,,1,,,,,,,,,
subsegmental-sized opacities are present in the bilateral infrahilar lungs .,,,,,1,,,,,,,,,
"subsegmental-sized opacities are present in the left lower lung , likely atelectasis .",,,,,1,,,,1,,,,,
"subsegmental-sized opacities are present in the left perihilar lung , consistent with atelectasis .",,,,,1,,,,1,,,,,
"subsegmental-sized opacities are present in the lower lungs and right upper lobe , consistent with foci of atelectatic or scarred lung or consolidated lung .",,,,,1,,1,,-1,,,,,
subsegmental-sized opacities are present in the lower lungs consistent with atelectasis .,,,,,1,,,,1,,,,,
"subsegmental-sized opacities are present in the right lower lung , likely subsegmental atelectasis .",,,,,1,,,,1,,,,,
subsegmental-sized opacities in the bilateral infrahilar regions may represent atelectasis or aspiration .,,,,,1,,,,-1,,,,,
"subsegmental-sized opacities in the infrahilar lungs bilaterally may represent areas of atelectasis , aspiration or consolidation .",,,,,1,,-1,,-1,,,,,
subsegmental-sized opacities in the left infrahilar lung are consistent with atelectasis or parenchymal scarring .,,,,,1,,,,-1,,,,,
subsegmental-sized opacities in the left lower lung are likely atelectasis .,,,,,1,,,,1,,,,,
subsegmental-sized opacities in the left lung base .,,,,,1,,,,,,,,,
subsegmental-sized opacities in the left lung base likely represent areas of atelectasis .,,,,,1,,,,1,,,,,
subsegmental-sized opacities in the left lung base likely represent subsegmental atelectasis .,,,,,1,,,,1,,,,,
subsegmental-sized opacities in the left lung base may represent areas of consolidation or atelectasis .,,,,,1,,-1,,-1,,,,,
subsegmental-sized opacities in the left upper lobe and right parahilar region are consistent with atelectatic or consolidated lung .,,,,,1,,-1,,-1,,,,,
subsegmental-sized opacities in the lower lungs are consistent with atelectasis .,,,,,1,,,,1,,,,,
subsegmental-sized opacities in the lower lungs are consistent with atelectatic lung .,,,,,1,,,,1,,,,,
subsegmental-sized opacities in the lung bases likely represent areas of subsegmental atelectasis .,,,,,1,,,,1,,,,,
subsegmental-sized opacities in the right upper lobe consistent with areas of consolidated and / or atelectatic lung .,,,,,1,,-1,,-1,,,,,
subsegmental-sized opacities in the right upper lobe consistent with parenchymal scarring .,,,,,1,,,,,,,,,
subsegmental-sized opacity in the adjacent lung is consistent with atelectasis .,,,,,1,,,,1,,,,,
"subsegmental-sized opacity in the lateral left lung base may represent a region of consolidation , aspiration , or atelectasis .",,,,,1,,-1,,-1,,,,,
subsegmental-sized opacity in the left lower lung is consistent with atelectasis .,,,,,1,,,,1,,,,,
subsegmental-sized opacity in the medial right lung base may represent a small focus of atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
